durante_Gio_alpha_1,durante_Gio_alpha_2,durante_Gio_alpha_3,durante_Gio_alpha_4,durante_Gio_alpha_5,durante_Gio_alpha_6,durante_Gio_alpha_7,durante_Gio_alpha_8,durante_Gio_alpha_9,durante_Gio_alpha_10,durante_Gio_alpha_11,durante_Gio_alpha_12,durante_Gio_alpha_13,durante_Gio_alpha_14,durante_Gio_alpha_15,durante_Gio_alpha_16,durante_Gio_alpha_17,durante_Gio_alpha_18,durante_Gio_alpha_19,Clase
6.625,4.7679,5.6766,1.3531,2.9385,5.9459,7.3486,4.5406,7.8568,8.3068,7.3592,6.4005,6.7916,6.998,6.0621,3.9522,7.3215,6.7525,4.5703,M
5.8978,6.5272,6.6481,4.1466,6.3952,5.8059,3.1185,3.1335,7.386,3.0956,4.9315,5.8562,6.7472,4.757,5.9302,3.4875,2.7415,7.203,3.9104,H
7.7001,7.3042,11.3321,5.4176,4.7428,4.8193,7.1581,1.27,8.0841,9.7137,7.8731,7.1166,9.8285,11.2402,7.8496,3.7378,7.4916,8.1737,9.5281,H
1.4993,3.8245,7.019,6.0415,1.5345,9.5162,3.5958,4.5469,7.3144,4.4308,6.3376,3.7693,7.106,8.7853,9.4016,6.9487,3.7582,10.0211,7.3215,M
7.981,0.71348,5.4477,7.8437,7.4366,8.5699,7.0793,5.4911,4.8561,4.7384,1.4141,7.8487,4.2802,3.0937,7.6935,6.9938,9.249,1.5228,3.9804,M
7.1575,9.835,7.7152,3.1457,6.7795,5.6597,6.4702,6.2672,9.1486,8.6642,4.6184,7.0512,5.6331,10.1533,5.2467,4.1113,3.3061,4.6691,6.1027,H
1.4092,3.6991,5.1057,3.6523,3.1093,4.3033,3.6346,1.4251,4.9944,7.5419,6.7199,7.8202,4.2116,6.149,6.895,1.9966,4.2332,5.819,5.458,M
8.0025,0,10.479,0,5.2278,1.4184,7.2473,4.4066,8.1091,10.6227,7.9257,10.2939,8.7877,9.8953,6.904,3.7376,9.8907,8.8998,7.6431,H
7.5467,2.8507,0.66469,10.0346,6.8645,7.3669,5.2162,8.4786,9.9362,8.6281,5.729,7.3702,8.1018,5.2522,1.3575,5.2152,7.6045,9.7946,0.85906,M
9.5342,9.5447,9.7122,4.7845,7.3199,7.3702,7.0678,5.9129,6.8541,3.401,7.9006,12.2963,7.0527,3.8168,5.4238,7.8333,5.8098,3.7681,4.6133,M
5.7314,5.5731,4.1537,1.3959,1.4956,0.85239,1.5621,0.69887,7.2437,7.3256,5.5221,1.4533,5.1946,8.106,6.2944,5.2349,3.688,1.4654,2.0918,M
5.4807,7.4391,7.7284,6.371,4.9387,6.1474,6.5204,2.7296,10.115,6.977,6.0258,7.3813,8.7902,9.2369,6.2365,6.0244,8.558,6.5662,7.1995,H
8.2532,8.4839,8.9598,7.6248,11.4526,10.0507,5.6713,8.4358,7.2226,9.289,9.0571,7.0186,9.7496,12.0711,6.0389,5.8914,5.0035,10.5327,4.619,H
5.7839,8.0317,8.3486,4.0882,3.1966,5.5329,0.79762,2.973,9.646,5.0821,4.9037,4.9842,6.3062,6.3692,7.4116,1.6713,5.2818,2.9924,5.7333,M
5.5615,5.4912,4.4327,4.5938,3.8679,3.1218,3.0348,2.2283,4.286,5.4711,4.0243,4.6885,5.5025,1.5637,4.067,2.3959,3.1623,2.3975,2.2388,H
8.481,7.661,8.0237,9.886,2.2902,0,7.5889,7.4637,8.454,8.706,7.8383,8.5811,7.7508,2.3101,3.7652,4.2686,6.6634,1.3633,3.4802,M
7.767,8.0409,3.0851,8.2189,6.0623,6.4256,5.6762,10.0148,6.5695,9.4278,7.9737,5.7877,8.6747,5.0289,7.3863,2.3172,0,2.1998,4.7715,M
11.5819,10.54,0,1.5025,0,6.7444,0,9.8912,10.3018,8.7309,8.4204,11.4483,11.4751,10.0471,11.084,5.967,10.6706,9.4904,8.7004,M
3.6247,11.8255,7.5989,10.2571,6.1763,7.3378,7.5925,5.4836,7.2171,7.5299,9.0852,0.82379,5.1533,8.091,9.0413,6.3428,9.2696,7.1473,0.71655,M
4.893,3.0439,0.65695,2.714,4.4109,2.707,3.3303,1.3729,9.6596,9.6175,7.1894,7.392,7.7932,8.0171,8.7522,5.9975,7.9135,4.2702,8.9446,H
2.2308,3.7571,7.0466,7.5107,4.1729,4.1314,4.2058,6.7721,5.8466,5.1068,6.8306,3.6709,3.6264,4.2932,6.758,2.0199,4.2693,4.0511,4.9996,M
5.6369,14.8168,14.6986,14.1888,12.9352,15.0586,15.2431,14.3331,15.2554,14.144,8.8852,5.682,16.0592,14.3705,14.0539,13.0514,12.7742,14.227,14.1473,M
3.1258,3.8502,4.7215,5.8988,5.3044,4.606,3.224,4.1702,5.4214,3.9006,5.9979,4.627,7.4981,4.4357,4.2438,6.6176,2.3816,2.4007,2.3798,M
4.7259,1.4341,4.4463,4.1542,2.2624,5.9202,3.6018,3.5552,6.1793,2.1934,3.2353,4.6441,3.6645,0.67933,2.4935,2.8499,3.0402,3.814,1.5081,M
5.8289,0.67177,6.5597,3.864,3.2253,1.47,3.4749,3.7411,6.6997,7.2229,2.8593,6.5393,6.7552,6.8061,7.2294,3.6028,6.6767,1.327,0.78131,M
11.4695,10.061,2.9014,8.9184,13.9952,13.7546,6.5688,9.8282,11.0144,12.8668,14.3826,11.3828,14.3344,11.2,7.4744,8.2769,10.8619,13.2996,7.4995,H
8.2449,10.154,8.7332,6.7931,7.8113,8.9191,5.1617,2.9678,10.6422,7.0329,5.513,7.3072,6.7518,8.4172,6.098,5.346,6.4397,1.3565,0,H
10.873,13.2875,13.1402,14.3992,10.8574,10.6833,10.8176,12.2321,13.5212,14.1312,7.4281,13.8622,14.1309,14.9376,12.5804,2.4419,13.2862,5.6498,10.4875,H
